stock_code,trade_date,close,open,high,low,amount
000002.SZ,2022-11-28,16.44,16.21,16.62,15.95,2494557511.34
000002.SZ,2022-11-29,18.15,17.3,18.15,17.18,4684526916.14
000002.SZ,2022-11-30,17.97,18.32,19.01,17.82,5216426116.77
000002.SZ,2022-12-01,18.32,17.69,18.46,17.65,3232368251.63
000002.SZ,2022-12-02,17.71,17.82,18.06,17.1,3304802524.96
000002.SZ,2022-12-05,18.24,18.22,18.72,18.14,3707004415.18
000002.SZ,2022-12-06,18.5,18.12,18.58,17.77,2120240419.55
000002.SZ,2022-12-07,17.82,18.23,18.49,17.62,2596529613.3
000002.SZ,2022-12-08,18.7,17.87,18.82,17.85,2900379907.95
000002.SZ,2022-12-09,19.78,18.69,19.95,18.58,4380717630.4
000002.SZ,2022-12-12,18.77,19.43,19.57,18.68,2288939780.66
000002.SZ,2022-12-13,18.8,18.77,18.92,18.48,1460346558.26
000002.SZ,2022-12-14,18.57,18.72,18.92,18.37,1524377945.54
000002.SZ,2022-12-15,18.44,18.2,18.56,17.82,1723767161.86
000002.SZ,2022-12-16,18.7,18.68,19.11,18.35,1900376962.0
000002.SZ,2022-12-19,18.67,18.82,19.22,18.42,1518417576.99
000002.SZ,2022-12-20,18.03,18.12,18.48,17.77,1267532132.25
000002.SZ,2022-12-21,18.02,18.15,18.28,17.91,883042187.6
000002.SZ,2022-12-22,18.05,18.25,18.38,17.93,776149747.52
000002.SZ,2022-12-23,18.1,17.91,18.28,17.8,619945292.54
000002.SZ,2022-12-26,17.69,18.06,18.07,17.52,1063343595.69
000002.SZ,2022-12-27,17.83,17.76,18.23,17.72,855405355.38
000002.SZ,2022-12-28,17.9,17.8,18.11,17.62,736417992.37
000002.SZ,2022-12-29,17.48,17.81,17.84,17.28,1099884563.42
000002.SZ,2022-12-30,17.52,17.55,17.64,17.25,935144077.43
000002.SZ,2023-01-03,17.55,17.42,17.82,17.2,1158945281.2
000002.SZ,2023-01-04,18.39,17.57,18.6,17.39,2060317406.33
000002.SZ,2023-01-05,18.65,18.32,18.8,18.22,1357011735.35
000002.SZ,2023-01-06,18.54,18.93,19.01,18.32,1391208648.38
000002.SZ,2023-01-09,18.1,18.61,18.67,18.0,1292008007.55
000002.SZ,2023-01-10,18.12,18.1,18.29,17.97,906180275.22
000002.SZ,2023-01-11,18.31,18.14,18.63,18.12,1273464590.19
000002.SZ,2023-01-12,17.92,18.17,18.2,17.63,1260184288.98
000002.SZ,2023-01-13,18.1,17.77,18.1,17.77,771628014.51
000002.SZ,2023-01-16,18.02,18.1,18.22,17.78,1248278213.7
000002.SZ,2023-01-17,18.06,18.05,18.17,17.68,988946549.63
000002.SZ,2023-01-18,17.8,18.07,18.27,17.76,987395603.39
000002.SZ,2023-01-19,17.87,17.76,17.87,17.42,1161720123.34
000002.SZ,2023-01-20,17.9,17.81,17.97,17.67,933806301.62
000002.SZ,2023-01-30,17.41,18.2,18.32,17.32,2315151336.47
000002.SZ,2023-01-31,17.61,17.4,17.67,17.27,1255458742.99
000002.SZ,2023-02-01,17.51,17.52,17.6,17.22,1246611678.64
000002.SZ,2023-02-02,17.5,17.5,17.7,17.25,1283125788.73
000002.SZ,2023-02-03,17.29,17.44,17.44,17.2,893421833.48
000002.SZ,2023-02-06,16.6,17.07,17.08,16.52,2153492511.22
000002.SZ,2023-02-07,16.88,16.6,17.12,16.54,1769210773.97
000002.SZ,2023-02-08,16.82,16.86,17.16,16.79,768911653.63
000002.SZ,2023-02-09,16.99,16.81,17.15,16.73,819148070.34
000002.SZ,2023-02-10,16.99,16.96,17.22,16.82,795674132.73
000002.SZ,2023-02-13,16.98,16.67,17.07,16.49,1351370295.53
000002.SZ,2023-02-14,17.03,17.0,17.22,16.89,1016643120.41
000002.SZ,2023-02-15,16.66,16.92,16.95,16.59,1142728843.53
000002.SZ,2023-02-16,16.65,16.67,17.0,16.5,1270775881.39
000002.SZ,2023-02-17,16.41,16.6,16.71,16.4,842010133.23
000002.SZ,2023-02-20,16.88,16.4,16.98,16.4,1451116357.19
000002.SZ,2023-02-21,16.95,17.2,17.29,16.85,1428804707.65
000002.SZ,2023-02-22,16.75,16.73,16.85,16.72,653483957.89
000002.SZ,2023-02-23,16.79,16.78,16.96,16.72,705286110.69
000002.SZ,2023-02-24,16.54,16.83,16.86,16.45,901030905.69
000002.SZ,2023-02-27,16.5,16.55,16.72,16.48,637672051.82
000002.SZ,2023-02-28,16.46,16.55,16.58,16.23,1250302163.4
